,date,Origin,ArrDelay
16,1998-04-30,DFW,-1.8787992261124633
17,1998-04-30,LAX,-0.3232459847844463
18,1998-04-30,ORD,1.8017527483924498
19,1998-04-30,STL,1.9739168490153174
20,1998-05-31,ATL,6.174565469293164
21,1998-05-31,DFW,-0.056265984654731455
22,1998-05-31,LAX,-0.619067237969677
23,1998-05-31,ORD,8.59122293126896
24,1998-05-31,STL,4.150767120939402
25,1998-06-30,ATL,7.252282759871803
26,1998-06-30,DFW,1.2668583213549154
27,1998-06-30,LAX,-0.1434951616905136
28,1998-06-30,ORD,13.78727330240405
29,1998-06-30,STL,10.63115464632455
30,1998-07-31,ATL,2.719402458389696
31,1998-07-31,DFW,-0.8724885015734689
32,1998-07-31,LAX,1.6930621432591044
33,1998-07-31,ORD,2.688563631853138
34,1998-07-31,STL,1.7837633414572653
35,1998-08-31,ATL,0.978841221730007
36,1998-08-31,DFW,0.32698546197284634
37,1998-08-31,LAX,3.2700080192461907
38,1998-08-31,ORD,6.5841314648654095
39,1998-08-31,STL,-0.026768010575016522
40,1998-09-30,ATL,-1.5434166769306565
41,1998-09-30,DFW,-2.3055058763413387
42,1998-09-30,LAX,-0.9032558139534884
43,1998-09-30,ORD,2.971096760754088
44,1998-09-30,STL,-2.3815447954891256
45,1998-10-31,ATL,1.4048780487804877
46,1998-10-31,DFW,1.0280020181634713
47,1998-10-31,LAX,0.6612209116990756
48,1998-10-31,ORD,4.694019126901541
49,1998-10-31,STL,-1.9425752592967367
50,1998-11-30,ATL,1.4009912815000598
51,1998-11-30,DFW,-1.756119556815254
52,1998-11-30,LAX,-1.2916807575245182
53,1998-11-30,ORD,-0.30536044362292053
54,1998-11-30,STL,-2.543690180786955
55,1998-12-31,ATL,4.586130009719284
56,1998-12-31,DFW,0.110409088008169
57,1998-12-31,LAX,3.3387616764487063
58,1998-12-31,ORD,3.000155343827672
59,1998-12-31,STL,2.6081278460348827
0,1999-01-31,ATL,7.41238813000471
1,1999-01-31,DFW,2.6983905715371943
2,1999-01-31,LAX,1.3813516686231762
3,1999-01-31,ORD,12.790938362465502
4,1999-01-31,STL,11.291814614090825
5,1999-02-28,ATL,4.517976535889996
6,1999-02-28,DFW,-0.6507798331519767
7,1999-02-28,LAX,0.5458430097538318
8,1999-02-28,ORD,1.7702137683293093
9,1999-02-28,STL,-1.1793925631564008
10,1999-03-31,ATL,4.857512953367876
11,1999-03-31,DFW,3.8281556974459723
12,1999-03-31,LAX,1.851713799530022
13,1999-03-31,ORD,2.444495765973826
14,1999-03-31,STL,-1.6935470194182989
15,1999-04-30,ATL,5.143973409528252
16,1999-04-30,DFW,4.207808078209416
17,1999-04-30,LAX,3.8978016445712367
18,1999-04-30,ORD,8.57009296429326
19,1999-04-30,STL,2.0098312162867584
20,1999-05-31,ATL,2.848383056251423
21,1999-05-31,DFW,12.071234778219447
22,1999-05-31,LAX,4.442895139840413
23,1999-05-31,ORD,7.940427963020671
24,1999-05-31,STL,0.9409342967568476
25,1999-06-30,ATL,10.194969654528478
26,1999-06-30,DFW,10.934752487718857
27,1999-06-30,LAX,4.834814512841419
28,1999-06-30,ORD,13.005268199233717
29,1999-06-30,STL,10.510656509458187
30,1999-07-31,ATL,9.443957311796943
31,1999-07-31,DFW,5.231015332608958
32,1999-07-31,LAX,6.289076164732072
33,1999-07-31,ORD,10.418467183041175
34,1999-07-31,STL,4.31111295130838
35,1999-08-31,ATL,5.586501955006517
36,1999-08-31,DFW,0.16551271338187895
37,1999-08-31,LAX,5.752006172839506
38,1999-08-31,ORD,3.2696495743417144
39,1999-08-31,STL,-0.227514936218311
40,1999-09-30,ATL,1.8263398421271293
