,date,dest_city,origin_city,DepDelay
20,1997-05-31,Minneapolis,Chicago,0.05303678357570573
21,1997-05-31,Las Vegas,Los Angeles,2.3572635135135136
22,1997-05-31,San Francisco,Los Angeles,3.428337428337428
23,1997-05-31,Chicago,Minneapolis,-0.4504906333630687
24,1997-05-31,Los Angeles,San Francisco,1.6251039068994182
25,1997-06-30,Minneapolis,Chicago,3.2239488117001827
26,1997-06-30,Las Vegas,Los Angeles,4.5914179104477615
27,1997-06-30,San Francisco,Los Angeles,7.491372226787181
28,1997-06-30,Chicago,Minneapolis,2.3645104895104896
29,1997-06-30,Los Angeles,San Francisco,4.236798679867987
30,1997-07-31,Minneapolis,Chicago,2.595925297113752
31,1997-07-31,Las Vegas,Los Angeles,3.055755395683453
32,1997-07-31,San Francisco,Los Angeles,4.874276261373035
33,1997-07-31,Chicago,Minneapolis,2.4294478527607364
34,1997-07-31,Los Angeles,San Francisco,3.31869918699187
35,1997-08-31,Minneapolis,Chicago,1.8455631399317407
36,1997-08-31,Las Vegas,Los Angeles,5.634427684117125
37,1997-08-31,San Francisco,Los Angeles,9.80548829701372
38,1997-08-31,Chicago,Minneapolis,0.5121338912133891
39,1997-08-31,Los Angeles,San Francisco,7.3768115942028984
40,1997-09-30,Minneapolis,Chicago,-0.16283185840707964
41,1997-09-30,Las Vegas,Los Angeles,0.7122241086587436
42,1997-09-30,San Francisco,Los Angeles,2.05193661971831
43,1997-09-30,Chicago,Minneapolis,-0.6137152777777778
44,1997-09-30,Los Angeles,San Francisco,1.4767441860465116
45,1997-10-31,Minneapolis,Chicago,-0.3986371379897785
46,1997-10-31,Las Vegas,Los Angeles,2.954585930543188
47,1997-10-31,San Francisco,Los Angeles,6.175363558597091
48,1997-10-31,Chicago,Minneapolis,-0.19123841617523168
49,1997-10-31,Los Angeles,San Francisco,4.779705117085863
50,1997-11-30,Minneapolis,Chicago,0.10121836925960637
51,1997-11-30,Las Vegas,Los Angeles,4.296398891966759
52,1997-11-30,San Francisco,Los Angeles,9.039814814814815
53,1997-11-30,Chicago,Minneapolis,0.5078776645041705
54,1997-11-30,Los Angeles,San Francisco,8.494930875576037
55,1997-12-31,Minneapolis,Chicago,1.7329598506069095
56,1997-12-31,Las Vegas,Los Angeles,4.358318098720292
57,1997-12-31,San Francisco,Los Angeles,6.824514991181658
58,1997-12-31,Chicago,Minneapolis,1.0446511627906976
59,1997-12-31,Los Angeles,San Francisco,6.860176991150443
0,1998-01-31,Minneapolis,Chicago,3.6296296296296298
1,1998-01-31,Las Vegas,Los Angeles,4.788014311270126
2,1998-01-31,San Francisco,Los Angeles,18.93358999037536
3,1998-01-31,Chicago,Minneapolis,2.5847784200385355
4,1998-01-31,Los Angeles,San Francisco,15.956477732793521
5,1998-02-28,Minneapolis,Chicago,-0.04229607250755287
6,1998-02-28,Las Vegas,Los Angeles,9.17106549364614
7,1998-02-28,San Francisco,Los Angeles,23.258660508083143
8,1998-02-28,Chicago,Minneapolis,0.010256410256410256
9,1998-02-28,Los Angeles,San Francisco,23.295121951219514
10,1998-03-31,Minneapolis,Chicago,3.3515695067264573
11,1998-03-31,Las Vegas,Los Angeles,4.391189427312775
12,1998-03-31,San Francisco,Los Angeles,11.150095602294455
13,1998-03-31,Chicago,Minneapolis,2.2805755395683454
14,1998-03-31,Los Angeles,San Francisco,8.82089552238806
15,1998-04-30,Minneapolis,Chicago,1.7837051406401552
16,1998-04-30,Las Vegas,Los Angeles,3.553651938683499
17,1998-04-30,San Francisco,Los Angeles,4.125237191650854
18,1998-04-30,Chicago,Minneapolis,1.1637694419030191
19,1998-04-30,Los Angeles,San Francisco,5.242483026188167
20,1998-05-31,Minneapolis,Chicago,4.149338374291116
21,1998-05-31,Las Vegas,Los Angeles,3.6315323294951285
22,1998-05-31,San Francisco,Los Angeles,11.0061099796334
23,1998-05-31,Chicago,Minneapolis,3.6294117647058823
24,1998-05-31,Los Angeles,San Francisco,10.313181367690783
25,1998-06-30,Minneapolis,Chicago,8.138431752178121
26,1998-06-30,Las Vegas,Los Angeles,4.04954954954955
27,1998-06-30,San Francisco,Los Angeles,9.008097165991902
28,1998-06-30,Chicago,Minneapolis,6.226467847157502
29,1998-06-30,Los Angeles,San Francisco,9.448098663926002
30,1998-07-31,Minneapolis,Chicago,1.6343216531895777
31,1998-07-31,Las Vegas,Los Angeles,3.630686886708296
32,1998-07-31,San Francisco,Los Angeles,8.524461839530332
33,1998-07-31,Chicago,Minneapolis,1.6723063223508459
34,1998-07-31,Los Angeles,San Francisco,6.3751274209989806
35,1998-08-31,Minneapolis,Chicago,4.347378277153558
36,1998-08-31,Las Vegas,Los Angeles,4.366812227074236
37,1998-08-31,San Francisco,Los Angeles,4.669811320754717
38,1998-08-31,Chicago,Minneapolis,4.692664809656453
39,1998-08-31,Los Angeles,San Francisco,3.570334928229665
40,1998-09-30,Minneapolis,Chicago,2.5005847953216374
41,1998-09-30,Las Vegas,Los Angeles,2.183531746031746
42,1998-09-30,San Francisco,Los Angeles,6.243927125506073
43,1998-09-30,Chicago,Minneapolis,1.2067714631197097
44,1998-09-30,Los Angeles,San Francisco,4.232142857142857
45,1998-10-31,Minneapolis,Chicago,0.07363636363636364
46,1998-10-31,Las Vegas,Los Angeles,3.1497005988023954
47,1998-10-31,San Francisco,Los Angeles,5.42721217887726
48,1998-10-31,Chicago,Minneapolis,-0.6256781193490054
49,1998-10-31,Los Angeles,San Francisco,3.7622119815668205
50,1998-11-30,Minneapolis,Chicago,-1.562097516099356
51,1998-11-30,Las Vegas,Los Angeles,2.916010498687664
52,1998-11-30,San Francisco,Los Angeles,7.521405049396268
53,1998-11-30,Chicago,Minneapolis,-1.419741697416974
54,1998-11-30,Los Angeles,San Francisco,3.858974358974359
55,1998-12-31,Minneapolis,Chicago,0.07027540360873694
56,1998-12-31,Las Vegas,Los Angeles,7.67
57,1998-12-31,San Francisco,Los Angeles,6.526429341963323
58,1998-12-31,Chicago,Minneapolis,-0.021133525456292025
59,1998-12-31,Los Angeles,San Francisco,4.884133611691023
0,1999-01-31,Minneapolis,Chicago,7.952581664910432
1,1999-01-31,Las Vegas,Los Angeles,2.812937062937063
2,1999-01-31,San Francisco,Los Angeles,7.39514348785872
3,1999-01-31,Chicago,Minneapolis,5.9140708915145
4,1999-01-31,Los Angeles,San Francisco,3.629139072847682
5,1999-02-28,Minneapolis,Chicago,-1.117063492063492
