,date,dest_city,origin_city,DepDelay
25,1999-06-30,Minneapolis,Chicago,13.904761904761905
26,1999-06-30,Las Vegas,Los Angeles,9.344915254237288
27,1999-06-30,San Francisco,Los Angeles,12.197943444730077
28,1999-06-30,Chicago,Minneapolis,12.531174089068825
29,1999-06-30,Los Angeles,San Francisco,6.703513281919451
30,1999-07-31,Minneapolis,Chicago,11.173180076628352
31,1999-07-31,Las Vegas,Los Angeles,11.85738255033557
32,1999-07-31,San Francisco,Los Angeles,13.430860033726812
33,1999-07-31,Chicago,Minneapolis,9.653312788906009
34,1999-07-31,Los Angeles,San Francisco,8.854237288135593
35,1999-08-31,Minneapolis,Chicago,7.079259259259259
36,1999-08-31,Las Vegas,Los Angeles,13.338815789473685
37,1999-08-31,San Francisco,Los Angeles,25.803802938634398
38,1999-08-31,Chicago,Minneapolis,6.741935483870968
39,1999-08-31,Los Angeles,San Francisco,17.740225890529974
40,1999-09-30,Minneapolis,Chicago,3.1295454545454544
41,1999-09-30,Las Vegas,Los Angeles,14.993925588458618
42,1999-09-30,San Francisco,Los Angeles,21.42281879194631
43,1999-09-30,Chicago,Minneapolis,1.9954648526077097
44,1999-09-30,Los Angeles,San Francisco,16.198507462686567
45,1999-10-31,Minneapolis,Chicago,4.042428675932699
46,1999-10-31,Las Vegas,Los Angeles,11.474889217134416
47,1999-10-31,San Francisco,Los Angeles,9.453058321479373
48,1999-10-31,Chicago,Minneapolis,2.945046999276934
49,1999-10-31,Los Angeles,San Francisco,6.443262411347518
50,1999-11-30,Minneapolis,Chicago,2.903002309468822
51,1999-11-30,Las Vegas,Los Angeles,12.096484667165296
52,1999-11-30,San Francisco,Los Angeles,24.85535574667709
53,1999-11-30,Chicago,Minneapolis,1.0985373364126252
54,1999-11-30,Los Angeles,San Francisco,18.5734375
55,1999-12-31,Minneapolis,Chicago,9.199130434782608
56,1999-12-31,Las Vegas,Los Angeles,9.19044170890659
57,1999-12-31,San Francisco,Los Angeles,6.563079116179615
58,1999-12-31,Chicago,Minneapolis,9.58095238095238
59,1999-12-31,Los Angeles,San Francisco,3.264580369843528
0,2000-01-31,Minneapolis,Chicago,8.064462809917355
1,2000-01-31,Las Vegas,Los Angeles,10.048285514345697
2,2000-01-31,San Francisco,Los Angeles,14.651201325600663
3,2000-01-31,Chicago,Minneapolis,7.549586776859504
4,2000-01-31,Los Angeles,San Francisco,10.0775
5,2000-02-29,Minneapolis,Chicago,6.381692573402418
6,2000-02-29,Las Vegas,Los Angeles,18.2451564828614
7,2000-02-29,San Francisco,Los Angeles,29.811195445920305
8,2000-02-29,Chicago,Minneapolis,6.705061082024433
9,2000-02-29,Los Angeles,San Francisco,24.340364333652925
10,2000-03-31,Minneapolis,Chicago,5.603603603603603
11,2000-03-31,Las Vegas,Los Angeles,13.300411522633745
12,2000-03-31,San Francisco,Los Angeles,16.57088122605364
13,2000-03-31,Chicago,Minneapolis,5.300150829562594
14,2000-03-31,Los Angeles,San Francisco,11.278125
15,2000-04-30,Minneapolis,Chicago,8.54441727791361
16,2000-04-30,Las Vegas,Los Angeles,13.359712230215827
17,2000-04-30,San Francisco,Los Angeles,20.056765163297044
18,2000-04-30,Chicago,Minneapolis,8.965601965601966
19,2000-04-30,Los Angeles,San Francisco,15.459143968871595
20,2000-05-31,Minneapolis,Chicago,11.036450079239303
21,2000-05-31,Las Vegas,Los Angeles,11.75206611570248
22,2000-05-31,San Francisco,Los Angeles,21.417081260364842
23,2000-05-31,Chicago,Minneapolis,10.219242902208203
24,2000-05-31,Los Angeles,San Francisco,19.684474123539232
25,2000-06-30,Minneapolis,Chicago,15.493172690763052
26,2000-06-30,Las Vegas,Los Angeles,14.306312769010043
27,2000-06-30,San Francisco,Los Angeles,22.7987012987013
28,2000-06-30,Chicago,Minneapolis,14.630904723779024
29,2000-06-30,Los Angeles,San Francisco,19.153160453808752
30,2000-07-31,Minneapolis,Chicago,14.8300395256917
31,2000-07-31,Las Vegas,Los Angeles,13.612258494337109
32,2000-07-31,San Francisco,Los Angeles,30.933962264150942
33,2000-07-31,Chicago,Minneapolis,15.202863961813842
34,2000-07-31,Los Angeles,San Francisco,26.008635578583764
35,2000-08-31,Minneapolis,Chicago,13.363141524105755
36,2000-08-31,Las Vegas,Los Angeles,14.821685173089485
37,2000-08-31,San Francisco,Los Angeles,24.548415492957748
38,2000-08-31,Chicago,Minneapolis,9.912636505460219
39,2000-08-31,Los Angeles,San Francisco,18.19561403508772
40,2000-09-30,Minneapolis,Chicago,6.955555555555556
41,2000-09-30,Las Vegas,Los Angeles,10.72640218878249
42,2000-09-30,San Francisco,Los Angeles,18.25094696969697
43,2000-09-30,Chicago,Minneapolis,6.3369294605809126
44,2000-09-30,Los Angeles,San Francisco,14.870876531573987
45,2000-10-31,Minneapolis,Chicago,4.060582822085889
46,2000-10-31,Las Vegas,Los Angeles,22.558601782042494
47,2000-10-31,San Francisco,Los Angeles,31.552460538532962
48,2000-10-31,Chicago,Minneapolis,4.5616858237547895
49,2000-10-31,Los Angeles,San Francisco,31.03906976744186
50,2000-11-30,Minneapolis,Chicago,10.534439834024896
51,2000-11-30,Las Vegas,Los Angeles,13.47672778561354
52,2000-11-30,San Francisco,Los Angeles,22.945334590009423
53,2000-11-30,Chicago,Minneapolis,8.224066390041493
54,2000-11-30,Los Angeles,San Francisco,21.48541862652869
