,date,Origin,DepDelay
54,1999-11-30,STL,0.8510805844780821
55,1999-12-31,ATL,3.589066968862986
56,1999-12-31,DFW,2.1838932459323424
57,1999-12-31,LAX,2.7385722347629797
58,1999-12-31,ORD,5.028639618138425
59,1999-12-31,STL,2.7936289281102025
0,2000-01-31,ATL,3.6328959591267997
1,2000-01-31,DFW,1.3112594952217593
2,2000-01-31,LAX,3.4971407889974664
3,2000-01-31,ORD,4.7684757812085525
4,2000-01-31,STL,2.165910909575887
5,2000-02-29,ATL,2.811757789535567
6,2000-02-29,DFW,2.4753614079195474
7,2000-02-29,LAX,6.822281982328083
8,2000-02-29,ORD,3.500390494254156
9,2000-02-29,STL,1.9779743802414524
10,2000-03-31,ATL,3.021034133872943
11,2000-03-31,DFW,5.240330658299644
12,2000-03-31,LAX,4.22191800056164
13,2000-03-31,ORD,3.214555389965226
14,2000-03-31,STL,3.193170405088718
15,2000-04-30,ATL,3.658955717118308
16,2000-04-30,DFW,3.098969941569785
17,2000-04-30,LAX,4.98378882433111
18,2000-04-30,ORD,5.904274034978785
19,2000-04-30,STL,2.9561073708140246
20,2000-05-31,ATL,2.6802851658897726
21,2000-05-31,DFW,4.4304814402157975
22,2000-05-31,LAX,4.623773401071752
23,2000-05-31,ORD,7.383850294796206
24,2000-05-31,STL,4.610252928195552
25,2000-06-30,ATL,5.870723293558785
26,2000-06-30,DFW,10.087723612221062
27,2000-06-30,LAX,8.268087215064421
28,2000-06-30,ORD,13.785170191232089
29,2000-06-30,STL,9.189160747171798
30,2000-07-31,ATL,6.027028574700796
31,2000-07-31,DFW,4.046193532905393
32,2000-07-31,LAX,7.387224459155122
33,2000-07-31,ORD,17.43179449770738
34,2000-07-31,STL,5.510626029654036
35,2000-08-31,ATL,4.154625068418172
36,2000-08-31,DFW,2.547623114147452
37,2000-08-31,LAX,7.604103802051901
38,2000-08-31,ORD,15.520869476477191
39,2000-08-31,STL,4.547859043625514
40,2000-09-30,ATL,4.318257261410788
41,2000-09-30,DFW,1.2689633958781914
42,2000-09-30,LAX,3.1863807047949164
43,2000-09-30,ORD,3.672717760920743
44,2000-09-30,STL,1.3870733478576616
45,2000-10-31,ATL,1.0402612699432487
46,2000-10-31,DFW,1.6738429049099548
47,2000-10-31,LAX,8.391818181818183
48,2000-10-31,ORD,2.873181281950452
49,2000-10-31,STL,4.096133751306165
50,2000-11-30,ATL,6.704128577403358
51,2000-11-30,DFW,4.939951450108598
52,2000-11-30,LAX,5.870160116448326
53,2000-11-30,ORD,6.794845092423848
54,2000-11-30,STL,2.537291280148423
55,2000-12-31,ATL,13.583657351154313
56,2000-12-31,DFW,6.579493920473217
57,2000-12-31,LAX,7.719518350277598
58,2000-12-31,ORD,19.90833193253768
59,2000-12-31,STL,11.969008644473055
0,2001-01-31,ATL,3.9898066169617894
1,2001-01-31,DFW,2.5823180397662937
2,2001-01-31,LAX,3.890153359298929
3,2001-01-31,ORD,4.615161630358398
4,2001-01-31,STL,3.4316087880935506
5,2001-02-28,ATL,4.819425708228946
6,2001-02-28,DFW,4.8372889896699425
7,2001-02-28,LAX,6.216035005999012
8,2001-02-28,ORD,5.249854368932039
9,2001-02-28,STL,5.61667995217218
10,2001-03-31,ATL,5.754769921436588
11,2001-03-31,DFW,4.0120030007501875
12,2001-03-31,LAX,4.19264846743295
13,2001-03-31,ORD,4.3243904532967035
14,2001-03-31,STL,1.994733553512452
15,2001-04-30,ATL,3.2575353582193367
16,2001-04-30,DFW,1.6329744722862112
17,2001-04-30,LAX,3.509058307054968
18,2001-04-30,ORD,5.964153054374581
19,2001-04-30,STL,0.7545178028269816
20,2001-05-31,ATL,2.264868603042877
21,2001-05-31,DFW,1.7470108695652173
22,2001-05-31,LAX,2.222268781801856
23,2001-05-31,ORD,4.327873026650823
24,2001-05-31,STL,0.5487050960735171
25,2001-06-30,ATL,8.251287038096327
26,2001-06-30,DFW,4.264212063144448
27,2001-06-30,LAX,2.5142070945743855
28,2001-06-30,ORD,5.585136963138316
29,2001-06-30,STL,3.063312707380504
30,2001-07-31,ATL,5.432537447910801
31,2001-07-31,DFW,2.7539608985392117
32,2001-07-31,LAX,2.2581170720353776
33,2001-07-31,ORD,5.545138608259921
34,2001-07-31,STL,1.938127632005183
35,2001-08-31,ATL,3.9765523230568824
36,2001-08-31,DFW,4.00527633697013
37,2001-08-31,LAX,2.3477380539164643
38,2001-08-31,ORD,6.572830828889966
39,2001-08-31,STL,1.1021933387489846
40,2001-09-30,ATL,1.8967463248101442
41,2001-09-30,DFW,5.579785241603196
42,2001-09-30,LAX,1.2714225765841376
43,2001-09-30,ORD,3.9042242219292715
44,2001-09-30,STL,-0.11600555971346092
45,2001-10-31,ATL,2.785982725654381
46,2001-10-31,DFW,3.8433046912526017
47,2001-10-31,LAX,1.3698177063302823
48,2001-10-31,ORD,3.085646003023948
49,2001-10-31,STL,1.3743599122165326
50,2001-11-30,ATL,2.888621312462372
51,2001-11-30,DFW,2.302363080344732
52,2001-11-30,LAX,0.9807071147970319
53,2001-11-30,ORD,1.235742589155841
54,2001-11-30,STL,1.1884176182707993
55,2001-12-31,ATL,3.4800695472986027
56,2001-12-31,DFW,2.1963399669209838
57,2001-12-31,LAX,2.4292703862660945
58,2001-12-31,ORD,2.672267672561603
59,2001-12-31,STL,4.026802218114603
0,2002-01-31,ATL,3.168790620619345
1,2002-01-31,DFW,0.9733918747355057
2,2002-01-31,LAX,0.9984138909758744
3,2002-01-31,ORD,0.9822792104884023
4,2002-01-31,STL,1.0262650846770105
5,2002-02-28,ATL,1.6970645520311631
6,2002-02-28,DFW,-0.43928935838184985
7,2002-02-28,LAX,0.496
8,2002-02-28,ORD,0.09191997921538062
9,2002-02-28,STL,-0.5483908718548859
10,2002-03-31,ATL,3.4707755151078272
11,2002-03-31,DFW,2.2515739632655185
12,2002-03-31,LAX,1.160690148684106
13,2002-03-31,ORD,2.5256218304757305
14,2002-03-31,STL,0.5649827288428325
