,date,dest_city,origin_city,ArrDelay
37,2000-08-31,San Francisco,Los Angeles,14.436008676789587
38,2000-08-31,Chicago,Minneapolis,6.79178605539637
39,2000-08-31,Los Angeles,San Francisco,14.565075921908894
40,2000-09-30,Minneapolis,Chicago,-1.5453629032258065
41,2000-09-30,Las Vegas,Los Angeles,3.0639192598822538
42,2000-09-30,San Francisco,Los Angeles,7.370023419203747
43,2000-09-30,Chicago,Minneapolis,-0.29846153846153844
44,2000-09-30,Los Angeles,San Francisco,7.922899884925202
45,2000-10-31,Minneapolis,Chicago,-2.7267605633802816
46,2000-10-31,Las Vegas,Los Angeles,14.550883095037847
47,2000-10-31,San Francisco,Los Angeles,27.06712962962963
48,2000-10-31,Chicago,Minneapolis,-0.11720226843100189
49,2000-10-31,Los Angeles,San Francisco,27.97902097902098
50,2000-11-30,Minneapolis,Chicago,2.5857438016528924
51,2000-11-30,Las Vegas,Los Angeles,6.6840753424657535
52,2000-11-30,San Francisco,Los Angeles,12.44795321637427
53,2000-11-30,Chicago,Minneapolis,7.5218274111675125
54,2000-11-30,Los Angeles,San Francisco,13.329099307159353
55,2000-12-31,Minneapolis,Chicago,18.347435897435897
56,2000-12-31,Las Vegas,Los Angeles,8.14358538657604
57,2000-12-31,San Francisco,Los Angeles,3.5594660194174756
58,2000-12-31,Chicago,Minneapolis,18.552699228791774
59,2000-12-31,Los Angeles,San Francisco,8.340119760479041
0,2001-01-31,Minneapolis,Chicago,-5.883052527254708
1,2001-01-31,Las Vegas,Los Angeles,5.545608108108108
2,2001-01-31,San Francisco,Los Angeles,1.1726954492415402
3,2001-01-31,Chicago,Minneapolis,-2.1342412451361867
4,2001-01-31,Los Angeles,San Francisco,1.661214953271028
5,2001-02-28,Minneapolis,Chicago,1.7664071190211346
6,2001-02-28,Las Vegas,Los Angeles,6.7803521779425395
7,2001-02-28,San Francisco,Los Angeles,7.7137452711223204
8,2001-02-28,Chicago,Minneapolis,1.947191011235955
9,2001-02-28,Los Angeles,San Francisco,11.238335435056747
10,2001-03-31,Minneapolis,Chicago,-2.9847619047619047
11,2001-03-31,Las Vegas,Los Angeles,4.719864176570458
12,2001-03-31,San Francisco,Los Angeles,1.4909706546275394
13,2001-03-31,Chicago,Minneapolis,-1.0203515263644773
14,2001-03-31,Los Angeles,San Francisco,7.774744027303754
15,2001-04-30,Minneapolis,Chicago,3.2768304914744233
16,2001-04-30,Las Vegas,Los Angeles,2.9262966333030027
17,2001-04-30,San Francisco,Los Angeles,9.80971128608924
18,2001-04-30,Chicago,Minneapolis,3.0503524672708964
19,2001-04-30,Los Angeles,San Francisco,6.22483660130719
20,2001-05-31,Minneapolis,Chicago,-1.0027075812274369
21,2001-05-31,Las Vegas,Los Angeles,3.3813786929274845
22,2001-05-31,San Francisco,Los Angeles,-1.0482509047044632
23,2001-05-31,Chicago,Minneapolis,0.3515695067264574
24,2001-05-31,Los Angeles,San Francisco,3.7708578143360754
25,2001-06-30,Minneapolis,Chicago,0.4112595419847328
26,2001-06-30,Las Vegas,Los Angeles,1.6091743119266055
27,2001-06-30,San Francisco,Los Angeles,-5.087486157253599
28,2001-06-30,Chicago,Minneapolis,2.736792452830189
29,2001-06-30,Los Angeles,San Francisco,-1.5114754098360657
30,2001-07-31,Minneapolis,Chicago,-0.17699115044247787
31,2001-07-31,Las Vegas,Los Angeles,1.9806167400881056
32,2001-07-31,San Francisco,Los Angeles,2.917093142272262
33,2001-07-31,Chicago,Minneapolis,2.0628930817610063
34,2001-07-31,Los Angeles,San Francisco,4.532719836400818
